run,seed,n_samples,mean_start_accuracy,mean_flow_accuracy,mean_random_accuracy,mean_flow_improvement,mean_random_improvement,mean_flow_advantage,flow_success_rate,random_success_rate,flow_better_rate,tie_rate,mean_flow_direction_norm,mean_random_direction_norm
1,42,3125,0.6166903250977426,0.6594573223923889,0.6081976637603072,0.0427669972946464,-0.008492661337435304,0.0512596586320817,0.736,0.43424,0.74016,0.0112,34.05643306610107,34.05643303588867
2,43,3125,0.6166903250977426,0.6334078717326623,0.6163245864262776,0.016717546634919835,-0.0003657386714648455,0.01708328530638468,0.58368,0.4512,0.58208,0.00512,32.11486510772705,32.11486506713867
3,44,3125,0.6166903250977426,0.681919114347907,0.6107874557602971,0.06522878925016438,-0.005902869337445476,0.07113165858760985,0.82144,0.44672,0.80992,0.00224,41.86342037338257,41.86342034988403
4,45,3125,0.6166903250977426,0.6516787730700098,0.6081864744267127,0.03498844797226725,-0.008503850671029867,0.043492298643297116,0.66816,0.448,0.66944,0.0112,31.716405572967528,31.71640555114746
5,46,3125,0.6166903250977426,0.6691633383864796,0.6124464851027153,0.052473013288736985,-0.004243839995027263,0.05671685328376423,0.76928,0.47008,0.736,0.00448,39.716081980133055,39.716082008514405
6,47,3125,0.6166903250977426,0.6686517224348532,0.6029385170986312,0.051961397337110596,-0.013751807999111324,0.06571320533622192,0.77216,0.4368,0.76864,0.008,42.66987072341919,42.66987070907593
7,48,3125,0.6166903250977426,0.6599776210859666,0.6109414717668632,0.04328729598822389,-0.005748853330879313,0.049036149319103196,0.68448,0.44832,0.67552,0.00768,31.955786244354247,31.955786234588622
8,49,3125,0.6166903250977426,0.6776676477226822,0.6158059411019633,0.06097732262493978,-0.0008843839957792152,0.061861706620718986,0.80096,0.42048,0.792,0.01696,25.830998388061523,25.830998390655516
9,50,3125,0.6166903250977426,0.6796361383882942,0.6197453010942139,0.06294581329055175,0.0030549759964713552,0.0598908372940804,0.75552,0.48288,0.7552,0.00512,36.16198998901367,36.161989951934814
10,51,3125,0.6166903250977426,0.6361959784242236,0.6029612797550225,0.01950565332648112,-0.01372904534272013,0.03323469866920125,0.60928,0.4016,0.64,0.016,27.388520928344725,27.38852092651367
11,52,3125,0.6166903250977426,0.6420798184035172,0.6064295997640605,0.025389493305774734,-0.010260725333682049,0.03565021863945679,0.64736,0.42784,0.6624,0.00576,32.590469681549074,32.59046965072632
12,53,3125,0.6166903250977426,0.6622406504007804,0.6148933757700652,0.04555032530303792,-0.0017969493276774097,0.04734727463071533,0.71328,0.42784,0.69568,0.01536,23.869042476272583,23.86904245285034
13,54,3125,0.6166903250977426,0.6688627303784432,0.6155022717615893,0.052172405280700676,-0.0011880533361531592,0.053360458616853845,0.73312,0.4512,0.72576,0.00704,32.63985281951904,32.63985281539917
14,55,3125,0.6166903250977426,0.6822787730313875,0.6111791464270399,0.06558844793364502,-0.005511178670702717,0.07109962660434774,0.8288,0.44,0.82208,0.00736,31.57792719451904,31.57792715911865
15,56,3125,0.6166903250977426,0.6420781650788765,0.6135038610963521,0.02538783998113403,-0.0031864640013903817,0.028574303982524415,0.58464,0.44512,0.58656,0.00512,26.618277637786864,26.6182776411438
16,57,3125,0.6166903250977426,0.6701067943995663,0.6089896957684684,0.053416469301823734,-0.0077006293292740885,0.061117098631097815,0.77664,0.42272,0.77664,0.00576,29.71989749420166,29.719897435150145
17,58,3125,0.6166903250977426,0.6713284263893391,0.6096065064190263,0.054638101291596686,-0.007083818678716227,0.06172191997031291,0.77728,0.42912,0.77312,0.00704,33.90757834640503,33.907578343048094
18,59,3125,0.6166903250977426,0.6441774717477963,0.6101076264356006,0.02748714665005371,-0.0065826986621419295,0.03406984531219564,0.61376,0.42272,0.64512,0.0048,34.86410183700561,34.864101813964844
19,60,3125,0.6166922770976059,0.6499939944026787,0.6177572477770231,0.03330171730507284,0.0010649706794173192,0.03223674662565552,0.6464,0.42944,0.65632,0.01024,27.267214915008545,27.267214901123047
20,61,3125,0.6167091624310759,0.6362711570947924,0.6122342290988656,0.019561994663716633,-0.004474933332210286,0.024036927995926917,0.57216,0.41984,0.57984,0.01376,28.90361738433838,28.903617370910645
