metric,mean,std_across_runs,sem_across_runs,min,max
mean_start_accuracy,0.9307181460876466,0.0,0.0,0.9307181460876466,0.9307181460876466
mean_flow_accuracy,0.9318468730087279,0.0,0.0,0.9318468730087279,0.9318468730087279
mean_random_accuracy,0.9308321594161988,0.0,0.0,0.9308321594161988,0.9308321594161988
mean_flow_improvement,0.0011287269210815433,0.0,0.0,0.0011287269210815433,0.0011287269210815433
mean_random_improvement,0.00011401332855224613,0.0,0.0,0.00011401332855224613,0.00011401332855224613
mean_flow_advantage,0.0010147135925292969,0.0,0.0,0.0010147135925292969,0.0010147135925292969
flow_success_rate,0.571,0.0,0.0,0.571,0.571
random_success_rate,0.5083,0.0,0.0,0.5083,0.5083
flow_better_rate,0.5594,0.0,0.0,0.5594,0.5594
tie_rate,0.0,0.0,0.0,0.0,0.0
mean_flow_direction_norm,3.693053067111969,0.0,0.0,3.693053067111969,3.693053067111969
mean_random_direction_norm,3.6930530680060385,0.0,0.0,3.6930530680060385,3.6930530680060385
